SNUMBER	STNAME	AREAL_NOR	AREAL_UTM3	GRAD_1085	GRAD_FELT	GRAD_ELV	HEIGHT_MIN	HEIGHT_10	HEIGHT_20	HEIGHT_30	HEIGHT_40	HEIGHT_50	HEIGHT_60	HEIGHT_70	HEIGHT_80	HEIGHT_90	HEIGHT_MAX	FELT_LE_KM	ELV_LE_KM	JORDBRUKPR	MYRPRO	EFF_MYR	EFF_SJO	SKOGPRO	BREPRO	SJOPRO	SNAUFJPRO	URBANPRO
000200378000	Heimdalsoset	129.830	129.830	12.88	19.23	19.46	1052	1070	1110	1169	1243	1308	1345	1400	1474	1573	1841	16.56	22.18	0.00	2.13	0.00	5.69	4.49	0.00	6.80	82.31	0.00
000200323000	Fura	42.470	42.470	29.44	7.33	30.62	349	427	477	517	550	575	598	622	652	690	758	10.21	12.41	1.39	14.96	0.00	0.00	79.99	0.00	0.05	0.00	0.16
006300001000	Nese	345.530	345.530	219.17	33.11	229.65	258	611	761	821	870	914	959	990	1039	1106	1426	28.60	2.26	0.62	0.76	0.00	0.70	9.17	0.00	7.11	79.32	0.02
000200216000	Hørsand Bru	255.090	255.090	10.38	7.45	10.59	159	220	236	256	275	308	333	368	446	499	610	25.60	39.77	7.70	8.43	0.00	0.63	80.02	0.00	2.40	0.00	0.29
000200271000	Fossum Bru	1136.620	1136.620	8.09	20.21	11.20	422	762	844	913	981	1049	1111	1186	1275	1432	2169	58.20	91.52	0.52	5.34	0.00	0.19	34.48	0.00	1.10	53.51	0.00
000200129000	Dølplass	2014.270	2014.270	4.52	0.00	11.11	529	838	929	987	1041	1099	1157	1220	1289	1386	1851	67.62	93.62	1.34	7.33	0.00	0.08	22.14	0.01	1.45	56.26	0.06
000200273000	Ryfetten	1313.370	1313.370	3.79	7.39	11.68	658	836	924	978	1036	1100	1165	1234	1304	1409	1851	54.62	77.54	1.66	6.24	0.00	0.04	24.53	0.01	0.71	54.25	0.09
000200274000	Einunna	572.000	572.000	4.43	16.84	8.05	739	950	1021	1062	1102	1142	1184	1230	1289	1364	1689	43.86	63.46	0.28	10.99	0.00	0.90	5.61	0.00	3.47	71.05	0.00
015900006000	Heimervatn	9.754	9.750	30.29	36.40	46.50	343	374	439	454	471	505	584	639	695	735	954	3.51	4.84	0.00	0.10	0.00	9.32	2.15	0.00	15.69	77.74	0.00
002200011000	Forgård Bru	317.864	317.860	10.88	25.73	13.99	265	684	758	798	831	862	883	909	935	973	1161	42.42	58.70	0.23	1.53	0.00	5.89	15.92	0.00	12.80	67.96	0.01
000200479000	Li Bru	156.810	156.810	19.01	31.64	23.15	753	973	1056	1150	1233	1293	1371	1459	1547	1668	2165	21.53	29.75	0.24	2.17	0.00	0.01	9.39	0.00	1.00	80.64	0.00
000600018000	Sagene Understasjon	0.172	0.170	0.00	0.00	0.00	92	93	96	100	101	104	106	108	109	111	116	0.72	0.00	0.00	0.00	0.00	-999.00	11.76	0.00	0.00	0.00	76.47
015100016000	Eiteråfoss	139.830	139.830	24.60	0.00	26.33	159	253	352	437	515	582	657	731	814	907	1244	22.45	28.56	0.14	1.85	0.00	0.03	18.01	2.08	1.05	71.24	0.01
000500002000	Hallangen	4.090	4.090	3.90	0.00	8.41	78	106	110	112	115	117	118	120	122	136	172	4.53	6.83	17.60	2.93	0.00	-999.00	77.02	0.00	0.00	0.00	0.00
000600011000	Kringlebekken	0.910	0.910	40.40	0.00	30.42	263	278	289	294	297	299	302	307	314	329	364	1.28	1.02	0.00	1.09	0.00	3.44	88.04	0.00	6.52	0.00	0.00
031100016000	Galten	2154.256	2485.650	-999.00	0.00	-999.00	643	662	692	734	764	789	822	865	917	1001	1596	74.82	-999.00	0.63	9.12	0.00	7.47	32.20	0.00	12.72	23.38	0.00
001800007000	Ubergvatn	289.810	289.810	-999.00	19.71	-999.00	75	177	189	201	219	236	255	277	305	349	506	27.89	-999.00	0.93	5.31	0.00	4.19	82.25	0.00	10.25	0.00	0.07
006200019000	Evanger Kraftverk	1266.970	1266.970	287.77	31.37	305.56	11	325	503	644	760	863	959	1052	1138	1244	1602	54.82	3.11	3.16	1.89	0.00	1.00	32.04	0.47	3.95	53.83	0.24
003600006000	Lavika	1462.540	1462.540	8.44	35.59	13.21	10	380	636	782	916	1022	1103	1195	1285	1397	1686	76.70	108.97	0.69	0.61	0.00	2.10	20.76	0.52	8.28	65.60	0.05
010400023000	Vistdal	66.520	66.520	58.78	44.64	64.76	46	254	454	575	655	737	792	860	946	1070	1516	11.43	14.47	2.06	4.12	0.00	0.16	31.93	0.00	2.27	55.23	0.00
011200014000	Gråsjø	303.820	303.820	16.87	29.40	24.97	463	579	712	792	862	926	1000	1108	1202	1311	1669	23.27	33.74	0.00	4.37	0.00	3.44	13.62	0.36	5.70	71.59	0.00
000200032000	Atnasjø	463.200	463.200	9.60	28.08	12.48	701	804	924	1022	1119	1205	1274	1360	1469	1595	2169	33.95	59.76	0.43	2.48	0.00	1.09	20.11	0.00	1.80	68.73	0.00
